,0
MSpaaaa,1130.0
MSpaaaaa,1131.0
MSpaaaaaa,1132.0
MSpaaaaap,1133.0
MSpaaaap,1134.0
MSpaaaapa,1135.0
MSpaaaapp,1136.0
MSpaaap,1137.0
MSpaaapa,1138.0
MSpaaapaa,1139.0
MSpaaapap,1140.0
MSpaaapp,1141.0
MSpaaappa,1142.0
MSpaaappp,1143.0
MSpaap,1144.0
MSpaapa,1145.0
MSpaapaa,1146.0
MSpaapaaa,1147.0
MSpaapaap,1148.0
MSpaapap,1149.0
MSpaapapa,1150.0
MSpaapapp,1151.0
MSpaapp,1152.0
MSpap,1153.0
MSpapa,1154.0
MSpapaa,1155.0
MSpapaaa,1156.0
MSpapaaaa,1157.0
MSpapaaap,1158.0
MSpapaap,1159.0
MSpapaapa,1160.0
MSpapaapp,1161.0
MSpapap,1162.0
MSpapapa,1163.0
MSpapapaa,1164.0
MSpapapap,1165.0
MSpapapp,1166.0
MSpapappa,1167.0
MSpapappp,1168.0
MSpapp,1169.0
MSpappa,1170.0
MSpappaa,1171.0
MSpappap,1172.0
MSpappp,1173.0
MSpapppa,1174.0
MSpapppaa,1175.0
MSpapppap,1176.0
MSpapppp,1177.0
MSpp,1178.0
MSppa,1179.0
MSppaa,1180.0
MSppaaa,1181.0
MSppaaaa,1182.0
MSppaaap,1183.0
MSppaap,1184.0
MSppaapa,1185.0
MSppaapp,1186.0
MSppap,1187.0
MSppapa,1188.0
MSppapaa,1189.0
MSppapap,1190.0
MSppapp,1191.0
MSppappa,1192.0
MSppappp,1193.0
MSppp,1194.0
MSpppa,1195.0
MSpppaa,1196.0
MSpppaaa,1197.0
MSpppaap,1198.0
MSpppap,1199.0
MSpppapa,1200.0
